Index,Date Logged,Year,Name,Sub-Category,Category,Distributor,Amount (grams)
1,2024-09-28,2018,Fuding Gong Mei White Tea Cake,,White,Yunnan Sourcing,69
2,2024-09-28,2019,Cha nong hao - Meng Song village white tea cake,,White,Yunnan Sourcing,250
3,2024-09-28,2018,Cha nong hao - Meng Song village white tea cake,,White,Yunnan Sourcing,250
4,2024-09-28,2020,Cha nong hao - Meng Song village white tea cake,,White,Yunnan Sourcing,215
5,2024-09-28,2013,Shun Ming Dow - Shoe mei white tea cake,,White,Yunnan Sourcing,300
6,2024-09-28,2019,Yi Wu Raw Gushu Huang Pian,Raw,Pu'ehr,Mei Leaf,350
7,2024-09-28,2020,Jing Mai White Teak Cake - Flower Crane,,White,Mei Leaf,145
8,2024-09-28,2022,Niuroh Yellow Leaf - Wu Yi Huang Pian,Wuyi,Oolong,Old Ways Tea,100
9,2024-09-28,2022,Foshou - Wu Yi Huang Pian,Wuyi,Oolong,Old Ways Tea,100
10,2024-09-28,2019,Imperial Green,,Green,Mei Leaf,27
11,2024-09-28,2016,Liu Wan Basket Tea,,Heicha,J Tea,200
12,2024-09-28,2014,Bling Rock Kingpin - Oolang Mountain,Ripe,Pu'ehr,Mei Leaf,140
13,2024-09-28,2019,Canopy Flasher,Raw,Pu'ehr,Mei Leaf,170
14,2024-09-28,2010,Jade Star 4 - Bai mu dan,Aged,White,Mei Leaf,130
15,2024-09-28,2010,Midsummer light show - fuding sho mei,Aged,White,Mei Leaf,140
16,2024-09-28,2021,Shui Jian Huang Pian Cake,Wuyi,Oolong,Old Ways Tea,80
17,2024-09-28,2019,Peng Feng,Eastern Beauty,Oolong,Taiwan Sourcing,26
18,2024-09-28,2019,Competition Grade Peng Feng,Eastern Beauty,Oolong,Taiwan Sourcing,21
19,2024-09-28,2024,Wuyi Origin Green Tea,,Green,Old Ways Tea,100
20,2024-09-28,2024,Jin jun Mei,,Black,Old Ways Tea,10
21,2024-09-28,2024,Lan Jang,,Black,Old Ways Tea,35
22,2024-09-28,2024,Shui Li Deng,,Black,Old Ways Tea,35
23,2024-09-28,2021,Imperial Topaz Spring,Green,Oolong,Taiwan Sourcing,32
24,2024-09-28,2021,Topaz Lily,Green,Oolong,Taiwan Sourcing,23
25,2024-09-28,1990s,Liu Wan Basket Tea,,Heicha,Taiwan Sourcing,20
26,2024-09-28,2010,Jin Ya Gong,Cooked,Pu'ehr,King Tea Mall,6
27,2024-09-28,2023,Ni Ru Huang Pian,Wuyi,Oolong,Old Ways Tea,100
28,2024-09-28,2015,Shui Jian,Wuyi,Oolong,Old Ways Tea,32
29,2024-09-28,2023,Huang Guang Yin,Wuyi,Oolong,Old Ways Tea,48
30,2024-09-28,2021,Lao Cong Shui Jian,Wuyi,Oolong,Old Ways Tea,24
31,2024-09-28,2023,First Roast Shui Jian,Wuyi,Oolong,Old Ways Tea,40
32,2024-09-28,2023,Second Roast Shui Jian,Wuyi,Oolong,Old Ways Tea,48
33,2024-09-28,2023,New Tree Rou Gui,Wuyi,Oolong,Old Ways Tea,32
34,2024-09-28,2023,Qian Li Xiang,Wuyi,Oolong,Old Ways Tea,32
35,2024-09-28,2017,Summer Haze,Qi Lan,Oolong,Mei Leaf,18
36,2024-09-28,2021,Tai Luo Han,Wuyi,Oolong,King Tea Mall,8
37,2024-09-28,2019,Cherry Storm,Wuyi,Oolong,Mei Leaf,23
38,2024-09-28,2018,Kaori Black,,Black,Mei Leaf,16
39,2024-09-28,2014,Da Hong Pow,Wuyi,Oolong,King Tea Mall,41
40,2024-09-28,2018,Su Chong Liquor,Tong Mu,Black,Mei Leaf,13
41,2024-09-28,2019,Honey Duchess,Green,Oolong,Mei Leaf,123
42,2024-09-28,2018,Osmanthus Oolong,Green,Oolong,Mei Leaf,33
43,2024-09-28,2018,"Xiaguan ""Big Snow Mountain"" Gold Ribbon",Ripe,Pu'ehr,Yunnan Sourcing,100
44,2024-09-28,2022,Menghai Da Yi V93 Premium,Ripe,Pu'ehr,Yunnan Sourcing,100
